"","LD1_1","LD1_2","LD1_3","LD1_4","LD1_5","LD1_6","LD1_7","LD1_8","LD1_9","LD1_10","LD1_11","LD1_12","LD1_13","LD1_14","LD1_15","LD1_16","LD1_17","LD1_18","LD1_19","LD1_20"
"modindx",0.116442025767931,0.00207456218494811,0.0356016927988064,0.0920461945609662,0.0360850619011246,0.0863960739197612,0.109007150712896,0.0534088980474733,0.0991921077747166,0.0383944347166737,0.0534401524759709,0.0971704624373548,0.0786019162983285,0.0639325440680717,0.116220795396202,0.0932819650499127,0.0135219637608508,0.0356991115537634,0.0511027870057494,0.0858141651920872
"startdom",0.0171463549546942,0.00294648221884582,0.0288478056924606,0.00801804872717259,0.0145077048871875,0.0103467580222012,0.0175945325131137,0.0160581293897444,0.00948078104986404,0.0048655185880225,0.00523929044674267,0.00549836592472299,0.0075550077269676,0.0158627322532127,0.00183918131533874,0.000837033523137934,0.0081496167533664,0.00611178665490633,0.0020191492417776,0.000950193763616965
"enddom",0.0091445274733566,0.00284504442744893,0.0148618647733484,0.00993950352366356,0.0140243352765328,0.00859813984223285,0.0193087639330207,0.00666475177681633,0.00374816905643787,0.000327476697009059,0.00874402964003817,0.0515836670735839,0.0466535466316274,0.000918379419343781,0.0492808322480768,0.00375968455671502,0.00193090736413093,0.00553145635888028,0.00190874090640149,0.0498248623844637
"dfslope",2.63237185651126e-05,0.000147379077132964,0.00016730869678236,4.43506454813061e-05,4.08667355387988e-05,6.88681850087833e-05,0.000156174663915555,7.4634862202683e-06,5.62389018547793e-05,2.65979538152024e-06,1.667120764807e-05,0.000285935664404054,0.000402472328896905,0.000113957942414346,0.000339726582678567,9.9598680126876e-05,7.04817238596907e-05,6.45471262255963e-05,3.92988302905899e-05,0.000292039784675217
"meanpeakf",0.00337554222006788,0.00336750763701614,0.00462628417250697,0.00778538782585669,0.00338273962935183,0.0124936223539816,0.00177659225594292,0.00257642534720644,0.0058238495059981,0.00421495020324752,0.0092050484880993,0.0125274413783084,0.0254621612440736,0.0017478510575647,0.0150832259662948,0.00472084008640923,0.00366907945237055,0.00271827599050343,0.00765156576239713,0.0227049407144818
"peakf",0.103950828565945,0.000486214472715594,0.0857329066772529,0.00353401035826789,0.0741432601416719,0.0451934732835167,0.0312783845172496,0.0388127555113089,0.0475380819018097,0.0943104012761162,0.100482153069382,0.391190715029241,0.503140970801123,0.188413779283017,0.410975007055144,0.0784442623865772,0.20195014274928,0.103397501000589,0.0941015775737338,0.338422731144625
"maxslope",0.000588062504079094,0.11295304614245,0.00230557236483907,0.147728416027277,0.230342241980445,0.0842046404203307,0.0622701857556274,0.204876702109093,0.0159957914084522,0.0169606105716115,0.0448318337073523,0.0172388188631681,0.198856189357052,0.156492584550385,0.223701518438198,0.0334117186790446,0.0015899251931279,0.0246851452673075,0.0361210131344586,0.115913113893753
"minslope",0.0339214518830928,0.167443320716207,0.0258579499488846,0.180555234389219,0.278799422223678,0.104178192544979,0.0920393141687791,0.247498820617455,0.00285938388572451,0.0173548420464416,0.101423270216636,0.052179001717565,0.253151996187895,0.251695865381766,0.239204641979511,0.003472823020845,0.0428152924564976,0.00751517150556512,0.0289978324257108,0.153380744143936
"abs_minslope",1.34124176126111,0.157350186603128,0.300257798020157,0.575408439842906,1.03190215495011,0.099019081932258,0.446853555078794,0.745082808347663,0.11071783479724,0.0260799905675755,0.411166635708595,0.647635922731509,0.625629730283738,0.132720185132099,0.68022391184993,0.457017117720868,0.0692261208980533,0.473840767124569,0.524006701333846,1.48918302092278
"pos_slopes",0.150449652173926,0.0948093210472828,0.232904447678155,0.0504823873704369,0.00608908465797256,0.0646062054510327,0.124134988000449,0.0143826846538229,0.0825818973242627,0.0736075744026619,0.164598451240406,0.113107544460158,0.151967328931867,0.0450408627761614,0.184374618561356,0.0145779676329342,0.0500874214419914,0.041958864975203,0.0504681190867923,0.211014916090458
"neg_slopes",0.157701676811061,0.0411268978858234,0.178185568173966,0.00945475743840248,0.0287186775931407,0.11053083339248,0.249461904993045,0.0164435666956167,0.114015274738633,0.0546344481360128,0.25183717549097,0.0545561520846191,0.107294710890621,0.0793551713299629,0.141003166860982,0.000883006280065664,0.119538775600703,0.0324416118090486,0.31548960428469,0.182024286208083
"turns",0.12783541355736,0.136651309276712,0.302145230546174,0.0889109086278579,0.0369257605583787,0.0468383207885275,0.0189594899944889,0.0403748435417236,0.0697869275532366,0.111675749572903,0.199940517680845,0.215070959370137,0.199365280836103,0.0987360686758115,0.18001836442065,0.231227211543453,0.26278525321811,0.135831707412422,0.166244532522212,0.21496543372755
"meanslope",0.909457571182755,0.331897145158923,0.0668803235071207,0.351363105517549,0.379827182354838,0.0273210309407843,0.73858019446666,0.267803398599726,0.00984545232383759,0.268992230861048,0.622452286830392,1.54527349399271,0.242138359545964,0.0901278269088383,0.281571922761121,0.331993530226503,0.386264174242223,0.0352831122269064,0.705094348409197,1.21182762109813
"segments",0.521411627481311,0.0481133668515345,0.0328142414425877,0.152942260218341,0.127553775121761,0.252205172456936,0.353127451477503,0.15285251548243,0.203620477187404,0.20295852008722,0.00743335452755502,0.125969171240611,0.0562280741017774,0.807603649032895,0.0481753468583132,0.811031633884594,0.472928777992232,0.270195140614166,0.0355455366825728,0.0514174134863363
