"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24","LD25","LD26","LD27","LD28","LD29","LD30","LD31","LD32"
"peakf",-0.0447596392503725,-0.0598248564911402,0.171697508463069,-0.0457232726365361,0.0431391872925351,0.0739858945820286,0.0663217630917295,-0.0484787566930663,0.151775228084712,0.0464669805710502,0.0173658501380347,0.0560318300338953,0.050817207130124,0.00199780575116103,-0.00552853184626597,-0.0707919428699194,-0.0703414562059866,-0.00650987374672313,0.144924055637948,0.0927001010146886,0.0185619495100054,-0.0743656146467657,0.0336617325216425,0.0141580809501246,0.112783810465538,-0.0306930503612447,-0.00862878353339566,0.107912657780501,-0.0379836433769959,-0.0214502856925427,-0.112079847969931,0.115806480451589
"abs_minslope",0.0256849560769451,0.839010931255915,0.129210053707917,-0.513357887466924,-0.0953084612082123,0.85929489888401,1.53987311676985,0.0689806491073559,0.0376532856494585,-1.31871999018926,0.163900485137942,-1.73029077661745,-0.885797543638782,1.19017619004599,-0.761734824424664,0.532484007806049,-1.44552745387744,1.23677157004714,0.0171754105448273,0.0934952867554696,-0.78617677584608,1.51143123812122,-0.388118297263477,-1.19661495785904,0.696605484643813,1.49423055191689,0.378367543319604,1.8406258666378,0.30651310877993,0.184779426100796,-0.718463518083907,-1.78835219248769
"meandom",0.0189661380226611,-0.00120814392914187,-0.0200425095315284,-0.0178700608710763,-0.0106012817186219,-0.00734797405917817,-0.0107137948922625,-0.028946368843434,0.0029292526102103,-0.0360071542639598,-0.0142091817009318,0.0566304305951602,-0.036306795595476,-0.0525490276666256,-0.0154516106817008,-0.0226538186166314,0.00470656693644013,-0.0389983669937243,0.0933054971990458,0.00849078072316745,0.00836856623000741,0.0260830733712329,-0.0607895284954425,-0.132282088567511,0.129385887510789,0.000838766146507849,0.242327572552236,-0.171820351382903,-0.054901619559202,-0.0566906279547603,-0.0517831128837439,-0.0514742945263695
"mindom",-0.0177096321195678,-0.00313371176885444,0.073623852677842,0.0337275376977961,-0.0167795118122138,0.0155517494520667,-0.00537718637481813,0.0266205969716929,0.0400410647588196,0.0397687342785173,0.0312453200589355,0.0244120655984815,-0.0190406359436683,0.0422823013498113,-0.0185951318836346,-0.0531142844836959,-0.0164468053124198,-0.00379126481565258,-0.152648267484345,0.00715015538203586,-0.0822481221903841,-0.0377921477522513,-0.107465998359645,0.0816055182609483,-0.0766928866471677,0.0108108161835292,-0.032967561458106,0.104471047866665,-0.126325342447287,-0.0720665396911363,0.195221757443283,-0.0243210593461612
"kurt",-0.0147138721626017,-0.0202237604858382,-0.0126509894800236,-0.00304479069105671,-0.00454500880517694,0.0284508444411564,0.0297128949688474,-0.00573766032281118,-0.00794120310993688,0.0266959568907748,-0.00206048172916614,-0.0204987745408058,-0.00548485831186445,0.00614502007668017,0.018671488178141,-0.0240119237084864,0.0528908942009255,0.0255807147367076,-0.00465334213080563,0.00606228480546464,0.00286334768451187,0.00878168483424992,0.0455848836744601,-0.0146874388641664,0.0172480027905229,-0.0212763942084625,0.00827553091348618,-0.0049757548867455,-0.0270537920194208,-0.0209848573564523,0.020005743737195,-0.0188874893496182
"freq.median",0.0137607622173669,0.0193143999894188,-0.0414614178463768,-0.0129809293994102,0.00809425802810919,-0.0353336909204686,-0.0217227501011191,0.0212702280422419,-0.0152882754793763,-0.0173708516406992,-0.0115049415089408,-0.00596740982140093,-0.0154642144768375,-0.0200448704636342,-0.00262512826484804,-0.027137345440035,-0.0243479543995507,-0.062978930846388,-0.0704580269803699,-0.0412734469337494,0.00280638004446355,0.0124412618891421,-0.0105624239436385,-0.110470812334364,0.0902242756690208,-0.0240602844335419,-0.0109565186769028,0.101721997190698,-0.116734131883958,-0.0391679880359239,-0.0171089733152389,0.14717664668145
"enddom",0.0124695646720395,-0.00593231643004026,-0.0100109128307653,-0.00637047185432691,0.0169608192964783,-0.0106973948801745,0.0100129030563551,-0.0306204252355925,-0.00164600009774076,-0.0186591258709631,0.00364536769722593,-0.00302572935472634,-0.00865538127532864,0.0305102222564977,-0.00139704155799694,-0.0236432739684946,0.0778361900971284,-0.0443974325803289,0.0128305628364054,0.0461041277125225,0.0306385387267634,0.0371929757273885,-0.00367386369914715,-0.0144714674221966,-0.0115083051561416,0.0798163825540059,-0.0415736660586206,0.0161991459075032,0.0396375664930493,0.0439081550205109,0.0290343407903156,0.0397815906289041
"freq.Q25",-0.0113880526943483,0.03771140803562,-0.0375868652786923,-0.0167812762916316,-0.00455380280330408,0.0407588315264133,-0.00348567361147192,0.0204254218125989,-0.00298630958705555,0.0118549184357802,0.00884884056863478,-0.0395529798905678,-0.031601188287276,0.0145695630439873,0.0349550871515438,0.0589966018271646,0.00799181239276357,-0.0495707578050059,-0.0952775820103643,0.0359631255619867,-0.0910025665030429,-0.0173813539038982,0.0761285578968125,0.00244342562066786,-0.0579255540135615,0.0631948870558764,0.0385118960037108,0.0489385559803038,-0.0979668210787341,-0.00755190378800519,-0.105436783308664,0.178172014143304
"meanpeakf",-0.0095969579853999,0.00372622899874352,0.00155467152873545,0.000450842732352064,-0.00599188276019728,0.00783493810010226,0.00541481029250141,0.00176497122816451,0.00154750245980369,0.000984637408080428,-0.00378623602280833,-0.0114388846028462,0.0056606776998229,0.01040970378302,-0.016835259287046,-0.0168118002118666,-0.0182420062275801,0.0143789988809651,-0.0360949650798477,0.0164963376064615,0.0582737022309103,-0.0091519469511454,-0.00254226296114304,-0.0261891324454571,-0.0439575119488057,-0.0543932263530417,0.00931872434747967,0.0404944983683525,0.0389554271202947,0.0275390646050358,0.0142673318119831,0.0108088010464123
"freq.Q75",-0.00598041627753013,0.0237140497348153,-0.0481783261509564,-0.043573681333323,0.0131750719649195,0.0316550479850281,0.02437544284094,0.0207443246824528,-0.0290356599936435,-0.0477529202013995,0.0567660553096648,-0.0310399220069542,0.00337604577408877,0.040046962491009,0.0606602737657376,-0.00321089904580785,-0.00370139575807579,-0.076324407787403,-0.0756784296939966,0.0290781628892821,-0.0455624958220363,-0.0615017271814366,0.024342961869347,-0.0175336198829864,-0.0344120646712421,0.0192457112009988,0.0370285218572636,0.00628285921060451,-0.0790170730531059,-0.00160687962759102,-0.0873455413277842,0.0809787109820093
"maxdom",-0.00276528414386926,0.00153528307788886,0.000399969924450128,0.00384217299364548,0.0026039409137453,-0.00280902511475726,0.00396897728661284,0.00116744998802626,0.00524830032769988,-0.00727999517347981,0.00547884484345339,0.00676059541789326,-0.0017860397624484,0.00534789864315682,-0.00160733382480616,0.0162662778537198,-0.00586199984051647,-0.0083924422796118,0.00370615682623325,0.000833889049791363,-0.0138022618439493,-0.0103695616587306,0.0115728673144448,0.0171143213885663,-0.0220535414538017,-0.00854438360791705,-0.000382194942693639,0.0345390952241078,-0.0132725679393354,0.000169160340824186,0.0348427420905568,-0.00737819513528123
"startdom",-0.00190112385078818,-0.0107286885272484,0.0270680775432645,0.0262832899249281,-0.0110194445704124,-0.0524953399551545,0.00149711885456388,-0.013571176884939,-0.00704961720185963,-0.00523945634454138,0.019871827186493,-0.0273068411055053,0.010679392194404,-0.054586162694543,0.038589538210188,0.00822279748451139,-0.0381861325467515,0.0877999470651009,-0.0498984493697662,-0.0134701123674092,-0.00390825868617868,-0.0293473324556903,0.0180387569721817,0.01455278502225,0.00186635184599772,-0.0295753089197836,-0.0316034892432552,-0.0117056091026485,-0.0127737806528695,-0.0251553096769904,-0.0746977765317419,-0.0153219936334539
"freq.IQR",0.00176778976515704,-0.00200466193022004,-0.0221640766204089,-0.0316171455992627,0.0160320679854193,0.0037646329187652,0.0263407655999309,0.00669196679458355,-0.0265780172284338,-0.0549819641568098,0.0499374964129392,-0.00396966358398112,0.0245672615663769,0.0296319001889297,0.0362217054228638,-0.0428209422966245,-0.00901642293794214,-0.0418177795218101,-0.0104559028992861,0.0044515571980294,0.0163193226663185,-0.0488638641570451,-0.027211008579682,-0.0189043690036028,0.0050612328927287,-0.0235347196843117,0.010565281709868,-0.0267129508026045,-0.0119349769766913,0.00349471597632085,-0.0151127317317704,-0.0400508598148059
"dfrange",-0.00145677876220982,0.00184017190608394,-0.00544185081169769,0.00129855934871115,0.00403298322254573,-0.00414783671506523,0.00454049082655104,-0.000907754290221773,0.00225342828940912,-0.0107070937218937,0.00319197101643413,0.00506370036350753,-0.000336184327388558,0.00217835878176811,-0.000186441064202455,0.0210804952082658,-0.00476613550931316,-0.00839492167039318,0.0159826305753366,0.000295350502075968,-0.00775998784399504,-0.0077391153368562,0.0205403813757891,0.0112431553469651,-0.0167520875700852,-0.00971387077424438,0.00222631924159237,0.0274804046935764,-0.00370503984808799,0.00590772575850865,0.0205764081118894,-0.00571091412429861
"dfslope",-7.47812339175793e-05,5.41591673958127e-05,8.89033817820346e-06,7.81313412304815e-05,4.84555160354114e-05,-4.77943002606495e-05,-0.000129022820633162,0.000239515314913039,-0.000120379100351638,0.000124465678700794,8.60165416358609e-05,-7.45532428163757e-05,-2.9417193837253e-06,-0.000574343785354504,-0.000218617100156901,2.05132851497683e-05,-0.00044054212328885,0.000625282667138719,-0.000190154266026977,-0.00015434303026572,-0.000211125555316587,-0.000483570322466998,9.62417724544316e-05,9.11927666995617e-05,-2.3125328788024e-05,-0.000472163427332592,-4.02956241320423e-05,-6.49506118695216e-05,-0.000224994057729638,-0.000374244086272966,-0.000565037124584092,-0.000316413609893811
